"Seat Comfort","Cabin Staff Service","Food & Beverages","Inflight Entertainment","Ground Service","Wifi & Connectivity","Value For Money"
4,1,2,3,4,1,2
1,1,1,2,1,1,1
1,1,2,1,2,1,1
1,1,1,1,1,1,1
2,3,1,2,3,1,2
3,1,2,3,4,1,1
2,1,1,1,1,1,1
1,1,1,1,1,1,1
2,3,1,2,3,1,2
3,1,2,3,1,1,2
3,1,2,1,2,3,4
1,1,2,3,1,1,2
1,1,1,1,2,3,4
1,2,3,4,5,1,2
3,4,1,2,1,2,3
4,1,1,2,3,4,1
2,3,4,5,1,2,3
4,5,1,2,3,4,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,1,2,3,4
5,1,2,3,1,2,3
1,2,3,4,5,1,2
3,1,2,3,4,5,1
2,3,4,1,2,3,4
1,2,3,4,1,2,3
4,1,2,1,1,2,3
1,2,3,4,5,1,2
1,1,1,1,1,1,1
1,1,1,2,1,2,1
1,1,1,1,1,1,2
1,1,1,1,1,1,1
1,1,1,1,1,2,1
2,1,2,1,2,1,2
1,2,1,2,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,1
2,3,4,5,1,1,1
1,1,2,3,4,1,2
3,4,5,1,2,1,2
3,4,5,1,1,1,1
2,1,2,3,1,1,2
3,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,2
3,4,5,1,2,3,4
5,1,1,1,2,1,2
3,4,1,2,1,1,2
3,4,1,2,3,4,1
2,3,4,1,1,1,1
1,1,2,1,1,1,1
1,1,1,1,1,1,1
2,3,4,1,1,1,1
1,1,1,2,3,4,1
2,3,4,1,2,3,4
1,2,3,4,1,2,3
1,2,3,4,1,2,3
1,2,3,4,1,1,2
1,2,3,4,1,2,3
4,1,1,1,1,1,1
1,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,1,2,3,4,5,1
2,3,1,2,3,1,2
1,2,1,2,3,1,2
3,4,1,2,3,1,2
1,2,3,4,1,2,3
4,5,1,2,3,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,1,2,3,1,1,2
3,4,5,1,2,3,1
2,3,4,1,1,2,3
1,2,3,1,1,1,2
1,1,2,1,1,2,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,1,1,1
1,1,1,1,1,2,3
4,1,2,3,4,1,2
3,4,1,2,3,4,1
1,1,2,3,4,1,2
3,1,2,3,4,1,2
1,2,3,4,1,1,1
2,1,2,1,2,3,4
1,1,1,2,3,4,1
1,1,1,1,1,1,1
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
1,1,2,1,2,3,4
1,1,2,3,4,1,2
3,1,1,1,1,1,1
1,2,3,1,2,1,2
1,1,2,3,4,1,1
2,3,1,1,2,1,1
1,1,1,1,2,3,1
2,3,4,1,1,2,3
4,1,2,3,4,1,2
3,4,1,2,3,1,1
1,1,1,1,1,1,1
1,1,1,1,2,3,4
5,1,2,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,1,2
3,1,1,1,1,2,3
1,1,1,1,1,1,1
1,1,2,1,2,1,1
1,2,3,1,2,3,4
1,1,2,3,4,5,1
2,3,1,1,2,3,1
1,1,1,1,1,1,1
2,1,2,3,4,5,1
1,1,1,2,3,1,2
3,4,5,1,2,3,1
2,3,4,5,1,2,1
2,3,4,5,1,2,3
1,2,3,1,2,3,1
1,1,1,1,1,1,1
1,1,2,1,1,1,2
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,1,2,3,4
1,2,1,2,3,4,1
2,3,4,1,2,3,4
1,1,1,1,2,1,2
1,1,2,1,2,3,1
2,3,1,2,3,1,2
3,4,5,1,1,2,3
1,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,1
1,1,1,1,2,3,1
1,1,1,1,1,1,2
3,4,5,1,2,3,4
5,1,2,3,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,1,2,3,1,2
3,1,2,3,1,2,3
1,2,1,2,3,4,1
2,3,4,1,2,3,1
2,3,1,2,3,4,5
1,2,3,4,1,1,2
3,4,1,1,1,1,2
3,4,1,1,2,3,1
2,3,1,1,1,2,3
4,1,2,3,4,1,2
3,1,2,3,4,5,1
1,2,3,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,2,3
4,1,2,3,1,2,3
1,2,3,4,1,2,3
1,2,3,1,2,3,1
2,3,4,1,2,3,1
2,3,1,2,1,2,1
2,1,2,3,1,1,1
2,3,1,1,1,2,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,1,1,1,2,1,1
2,1,1,2,3,1,2
3,4,1,2,1,2,3
1,2,3,4,1,1,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,1,2
3,4,5,1,2,3,4
1,2,3,4,1,1,2
3,1,2,1,1,2,3
1,1,2,3,4,1,2
3,4,1,1,1,2,3
1,2,3,4,5,1,2
3,4,1,2,3,1,2
1,1,2,3,1,1,2
3,4,5,1,2,3,4
1,2,3,4,1,2,3
4,1,2,3,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,2,3
4,5,1,2,3,4,5
1,2,3,1,2,3,4
5,1,2,3,4,5,1
2,3,4,1,2,3,4
5,1,1,1,1,1,1
1,1,2,3,1,2,3
1,1,1,1,2,1,1
1,1,1,1,2,1,2
3,1,2,1,2,1,1
1,1,1,1,1,2,1
1,1,1,1,2,3,4
5,1,1,1,1,1,1
1,1,1,1,1,2,1
1,2,1,2,1,1,1
1,1,1,2,1,2,1
1,1,1,1,1,1,1
1,2,1,1,1,2,3
4,5,1,2,3,1,1
1,1,1,1,1,2,3
4,5,1,2,3,1,2
3,1,1,2,3,1,2
3,4,1,2,3,4,1
2,3,4,1,2,3,4
1,1,2,3,4,1,2
3,4,1,1,2,1,2
3,4,1,1,1,1,1
1,1,1,1,1,1,1
1,2,1,1,2,1,1
2,3,4,5,1,1,1
1,1,1,1,2,3,1
2,3,1,2,3,4,1
2,3,1,2,3,4,1
2,1,2,3,4,1,1
2,3,1,2,1,2,3
4,1,2,3,1,2,3
1,2,3,1,2,3,4
5,1,1,2,3,1,2
1,1,1,1,2,1,2
3,1,1,2,3,1,1
2,3,1,1,2,3,1
2,1,1,2,1,2,3
1,2,3,4,1,2,3
1,1,1,1,2,1,1
2,1,1,2,3,1,1
1,2,1,2,3,1,1
1,1,1,2,3,1,1
1,2,3,4,1,2,1
1,1,1,1,1,1,1
1,1,2,3,4,1,1
1,1,1,1,2,1,1
1,1,1,1,2,1,1
2,1,1,1,1,2,3
1,2,1,2,1,1,2
1,1,2,3,1,1,1
1,1,1,1,1,2,3
4,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,1,2,3
1,2,3,4,5,1,2
3,1,2,3,4,1,2
1,2,3,4,5,1,1
2,3,4,5,1,2,3
1,2,3,1,2,3,1
2,3,1,2,3,1,1
2,3,1,1,2,3,1
2,3,1,2,3,1,2
3,4,1,1,1,2,3
1,1,1,1,1,1,1
1,2,3,1,1,1,2
3,4,1,1,1,2,3
1,1,2,3,4,5,1
2,1,1,1,2,3,4
1,2,3,4,1,2,1
2,3,4,5,1,2,3
1,2,1,2,3,1,1
1,2,3,1,1,2,1
1,2,3,4,1,2,3
4,1,1,2,3,4,1
1,1,1,2,1,1,1
2,1,2,1,2,1,2
1,2,1,2,1,2,1
2,1,1,1,1,1,1
1,2,3,1,2,3,1
1,1,1,1,1,1,1
1,1,2,1,2,1,2
3,1,2,3,1,1,2
3,1,1,2,3,1,2
1,2,1,2,3,1,2
3,1,2,1,2,3,4
1,2,3,4,1,2,3
4,1,2,3,1,2,3
4,1,2,3,1,2,3
4,5,1,2,3,4,5
1,1,1,1,1,1,1
1,2,1,2,3,4,5
1,1,2,1,1,2,1
1,1,1,1,1,1,1
3,4,5,1,1,2,3
1,2,3,1,2,3,1
2,3,1,1,2,3,4
1,1,2,1,1,1,1
1,1,1,1,1,1,1
2,1,2,3,4,1,1
2,3,4,1,2,3,4
1,2,3,4,1,2,3
1,2,3,1,2,3,4
5,1,2,3,4,1,1
2,3,1,2,1,1,1
1,1,1,2,1,2,3
1,2,1,1,1,2,1
1,1,1,1,1,1,1
2,3,4,1,2,3,4
1,2,3,4,1,2,3
4,1,1,1,2,3,1
2,3,1,1,2,3,1
2,3,1,1,1,1,1
1,1,1,1,1,2,3
1,2,3,1,1,2,1
2,3,4,1,1,2,1
1,2,3,4,5,1,2
3,4,1,1,2,3,1
2,3,4,5,1,1,2
3,4,5,1,2,3,4
1,2,3,4,5,1,2
3,4,1,1,2,1,2
1,2,1,2,3,1,2
3,1,2,3,1,2,3
1,1,2,1,1,1,1
1,1,2,3,1,2,3
1,2,3,1,2,3,1
2,1,2,3,4,1,2
3,4,1,1,1,1,2
1,1,2,1,2,3,1
2,3,1,2,3,4,5
1,1,2,3,1,1,1
2,3,4,1,2,1,2
3,1,1,1,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,1,2,1,2,1
1,2,3,1,1,2,1
1,1,1,1,2,1,1
1,1,1,1,1,2,1
2,3,4,5,1,2,1
2,3,4,5,1,1,1
1,1,1,1,2,3,4
1,1,1,1,1,1,1
1,1,1,1,1,2,1
2,3,4,1,1,1,2
1,1,1,1,1,2,3
4,1,2,3,1,2,3
1,2,3,4,5,1,1
1,1,1,1,1,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,2,3,4,1,2
3,4,1,2,3,4,5
1,2,3,4,1,2,1
2,1,1,2,3,4,1
1,1,2,3,1,1,1
2,3,4,1,2,3,4
1,2,3,4,1,2,1
1,1,1,1,1,1,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
1,1,1,1,1,2,3
1,2,3,1,2,3,1
2,3,1,1,2,3,1
1,1,2,3,1,2,3
1,1,2,3,1,2,3
1,2,3,4,5,1,2
3,1,2,3,1,1,2
3,1,1,1,1,1,1
2,1,2,1,2,1,1
1,1,1,1,1,1,2
3,1,1,1,1,1,1
2,1,2,3,4,5,1
2,1,2,1,2,3,1
1,2,1,1,2,1,2
1,1,1,1,1,1,2
1,1,1,2,1,2,1
2,3,4,1,1,2,3
4,1,1,1,1,1,2
1,2,3,1,2,3,4
1,1,1,1,1,1,2
3,4,5,1,2,3,4
5,1,1,2,3,4,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,1,1,1,1,1,1
2,1,2,3,1,2,1
2,1,2,3,4,1,2
1,1,1,1,1,1,1
1,2,1,1,1,1,1
2,1,2,1,2,1,1
1,1,2,3,1,1,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,1,1
2,3,1,2,3,1,1
2,1,1,1,2,1,1
1,1,2,1,2,3,1
2,3,4,1,2,3,1
2,3,1,2,3,4,1
2,3,4,5,1,2,3
4,5,1,2,1,2,3
1,2,1,1,1,2,1
2,3,1,1,2,3,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,1,2,3,4,5
1,2,3,4,1,2,3
4,5,1,2,3,4,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,1,1,2,3,4
5,1,2,3,4,5,1
2,3,1,2,3,4,1
2,3,4,1,2,3,4
5,1,2,3,4,1,2
3,4,1,2,3,4,5
1,2,3,4,5,1,2
1,1,1,2,3,1,2
1,2,3,1,2,1,2
3,1,2,3,4,5,1
2,3,4,1,2,3,4
5,1,1,2,3,4,1
1,2,3,4,1,2,3
4,5,1,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
1,1,2,3,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,1,1,2,1,1,1
1,1,2,3,1,2,3
1,2,3,1,2,3,1
1,2,1,1,2,1,2
3,1,2,3,4,5,1
1,1,1,1,1,1,1
1,1,1,2,3,1,1
1,1,1,1,1,2,1
2,3,1,1,1,1,1
2,1,2,3,4,1,2
3,4,1,2,1,2,3
1,1,1,1,1,1,1
1,1,1,2,3,1,2
3,4,5,1,2,3,1
2,3,1,2,3,4,1
2,3,1,1,1,1,1
2,3,1,2,3,1,2
3,1,1,1,1,1,1
1,1,1,2,1,2,3
4,5,1,2,3,4,5
1,1,2,3,4,5,1
2,3,4,5,1,2,3
4,1,2,3,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,1,1,1,2,3,1
1,1,1,1,1,1,2
3,4,1,2,3,4,5
1,2,3,4,1,2,3
4,5,1,2,3,4,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,1,1,1,1,1
2,1,2,1,2,1,2
1,1,2,1,2,1,1
1,1,1,1,2,3,1
2,3,4,5,1,2,3
1,2,3,1,2,3,4
5,1,2,3,1,2,3
1,2,3,1,2,1,1
2,3,4,1,2,1,2
3,1,2,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,1
2,3,1,2,3,1,2
3,1,2,1,1,1,1
1,1,1,2,3,1,2
3,4,1,1,1,2,1
1,1,1,1,1,1,1
2,1,2,3,4,1,2
3,4,5,1,2,1,2
3,4,5,1,1,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,1,2,3
4,1,2,3,4,1,2
3,4,1,1,1,1,1
2,3,4,1,2,3,4
5,1,2,3,1,2,3
4,1,2,3,1,2,3
1,2,3,4,5,1,2
3,1,2,3,4,5,1
2,3,1,1,1,1,1
1,1,1,1,1,1,1
2,1,2,3,1,2,3
1,2,3,1,2,1,1
2,3,1,2,3,1,2
3,1,2,3,4,1,2
1,2,3,1,1,2,3
1,1,2,3,4,5,1
2,3,4,1,1,2,3
4,5,1,2,3,4,5
1,2,3,4,1,2,3
1,2,3,4,5,1,2
3,4,5,1,2,3,4
1,2,3,4,1,2,3
4,5,1,2,3,1,2
3,4,1,2,3,4,1
2,3,1,1,2,3,4
5,1,2,3,1,2,3
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,1,2,3,1
1,1,1,1,2,3,1
1,1,1,2,3,4,1
1,1,2,3,4,1,1
2,3,4,1,1,1,1
1,1,1,1,1,2,3
4,1,2,3,4,5,1
2,3,1,2,3,4,5
1,2,3,4,1,1,1
2,1,1,1,1,1,1
1,2,3,4,5,1,2
3,4,5,1,2,1,2
1,2,3,4,1,2,3
4,1,2,3,4,1,2
1,1,1,1,2,1,1
1,1,1,1,1,1,2
3,1,2,3,4,5,1
2,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,1,1,1,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,1,2
3,4,5,1,1,1,1
1,1,1,1,1,1,1
1,2,3,4,1,2,3
4,1,2,3,1,2,3
4,5,1,2,3,4,5
1,2,3,4,1,2,3
1,2,3,4,1,2,3
4,1,2,3,1,2,3
1,2,3,1,2,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,1,2,1,2
3,1,2,3,1,2,3
1,2,3,1,2,3,1
2,3,4,5,1,2,3
1,2,3,4,5,1,1
2,1,2,1,2,1,2
3,1,2,1,1,1,1
2,1,1,1,2,3,4
1,2,3,1,2,3,1
2,3,1,1,2,1,2
3,1,2,3,1,1,1
1,1,1,1,2,3,4
1,2,3,4,5,1,2
3,4,5,1,2,3,1
2,3,4,5,1,2,3
1,2,3,4,1,1,1
2,3,4,5,1,2,3
4,1,1,1,2,3,1
1,2,1,1,2,3,1
1,2,3,4,5,1,2
3,4,5,1,1,1,1
1,1,1,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,1,1,1,1,1,1
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
1,2,3,4,5,1,2
3,4,5,1,2,3,4
1,2,3,1,2,3,4
5,1,1,1,2,3,4
1,1,2,3,1,2,3
4,5,1,2,3,4,1
2,3,1,2,3,4,5
1,2,3,1,2,3,4
5,1,2,3,1,2,3
1,2,3,4,5,1,2
3,4,1,1,2,3,4
1,2,3,1,2,3,4
1,2,3,1,2,3,4
1,2,3,4,1,1,2
3,4,1,2,3,1,2
3,4,5,1,2,3,1
2,3,1,2,3,1,1
2,3,4,1,2,3,4
1,2,3,1,1,1,1
1,1,1,1,1,2,3
4,1,2,1,2,3,4
1,2,1,2,1,2,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,1,2,3
4,1,2,3,1,2,3
4,5,1,2,3,4,1
2,3,4,1,2,3,4
1,2,3,4,1,2,3
1,2,3,4,1,2,3
4,1,2,3,1,2,3
4,1,2,3,4,1,2
3,4,1,2,3,4,1
2,1,2,3,4,1,2
3,1,2,1,2,3,1
2,3,4,5,1,2,3
4,5,1,2,3,4,1
2,3,1,2,3,4,5
1,2,3,4,1,2,1
2,3,1,2,1,2,1
2,1,1,1,1,1,1
2,1,1,2,1,1,1
1,1,1,1,1,1,1
1,2,1,2,1,2,1
1,1,1,2,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,1,1,1,2,1,2
3,1,1,1,1,1,1
1,1,2,1,2,3,1
2,1,1,1,1,1,1
1,1,1,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,1
2,3,4,5,1,2,3
4,5,1,2,3,4,1
2,3,4,5,1,2,3
4,1,2,3,4,5,1
2,1,2,1,2,1,2
3,4,1,1,2,3,1
2,1,1,1,1,1,1
1,1,2,3,1,2,3
1,2,3,1,2,3,1
2,3,1,2,3,1,2
3,1,2,3,4,1,2
3,4,1,2,3,4,1
2,3,4,1,2,3,4
1,2,3,4,1,2,1
1,1,1,2,1,1,1
1,2,1,1,1,1,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,1,2,1,1,2
1,1,2,1,1,2,3
1,2,3,4,1,2,3
1,2,3,4,1,2,3
1,2,3,1,2,1,2
3,4,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
1,2,3,1,2,3,1
2,3,1,2,3,4,1
2,3,4,5,1,1,1
1,2,3,1,1,1,1
2,3,4,5,1,2,3
1,1,1,1,1,1,1
1,1,1,2,1,2,3
1,1,1,2,3,1,2
3,1,2,3,1,2,3
1,2,1,2,1,2,1
2,3,1,2,3,1,2
1,2,3,1,2,1,1
2,3,4,1,1,1,2
3,1,2,3,1,1,2
3,1,1,2,3,1,2
3,1,1,2,1,2,3
1,2,1,2,3,1,1
2,1,2,1,2,3,4
1,2,3,1,2,3,1
2,3,1,2,3,1,2
1,2,1,2,1,2,1
2,3,4,1,2,3,4
1,2,3,4,1,2,3
4,1,2,3,4,1,2
3,4,5,1,2,3,1
2,3,4,1,2,3,4
1,2,3,1,2,3,4
1,1,2,1,1,2,1
2,1,1,2,3,1,1
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
1,2,3,1,1,2,3
1,2,3,4,1,2,3
4,1,2,3,4,5,1
2,3,4,1,2,3,4
5,1,2,3,4,1,2
1,2,1,1,1,1,1
2,1,2,3,4,1,2
1,1,1,2,3,1,2
3,1,2,3,1,2,3
1,2,3,1,2,3,1
1,2,3,1,2,3,1
2,1,1,2,1,2,3
4,1,1,2,3,1,2
1,2,3,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,1,2,3
1,2,3,1,2,3,1
1,1,2,1,2,3,1
2,3,1,1,1,2,1
1,2,1,1,1,1,2
3,1,2,3,4,1,2
3,4,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
1,2,3,4,5,1,2
3,1,2,3,1,2,1
2,3,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,2,3,1,2
3,1,2,3,4,5,1
2,3,1,2,3,4,1
2,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,1
2,3,4,5,1,2,3
1,2,3,1,1,1,1
2,3,4,1,1,2,1
1,1,1,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,1,2
3,4,5,1,1,1,2
1,2,3,4,1,2,3
1,2,3,4,1,1,2
1,2,3,4,1,1,2
3,4,1,2,3,1,2
3,4,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,1,1,2,3
4,5,1,2,3,4,5
1,2,3,4,1,2,1
2,1,1,1,2,3,1
1,1,1,1,1,1,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
1,2,3,4,1,2,3
4,5,1,2,3,4,5
1,2,3,1,2,3,4
5,1,2,3,1,2,3
4,1,2,3,4,5,1
2,3,4,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,1,1,1
1,2,3,4,1,2,1
1,2,3,1,1,2,3
1,2,3,1,1,2,3
4,1,2,3,4,5,1
1,1,1,2,3,4,5
1,2,3,4,1,2,3
4,1,2,3,1,2,3
4,1,2,1,2,3,4
5,1,1,1,1,1,2
3,1,2,3,1,2,1
2,3,4,1,1,2,3
4,1,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,1,2,3,4,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,1,2
3,1,2,3,1,2,3
4,5,1,2,3,1,2
1,2,3,4,1,2,3
4,1,2,3,4,1,2
3,4,5,1,1,2,3
1,1,2,3,1,2,3
4,1,2,3,4,1,1
2,3,4,5,1,2,1
2,3,4,1,1,1,2
1,1,1,1,1,2,3
1,2,3,4,5,1,2
3,1,2,3,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,2,3
1,2,1,1,1,2,1
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,1,2
3,1,1,1,1,1,2
1,2,3,1,2,1,2
1,1,1,1,1,1,1
1,1,2,1,2,3,4
1,2,1,2,1,2,1
2,1,2,1,1,2,1
1,2,1,1,2,3,1
2,1,2,1,1,2,3
1,1,1,1,1,1,1
1,1,2,3,1,2,3
4,1,2,3,1,1,1
2,3,4,5,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,1,2,3,4,5
1,2,3,4,1,2,3
4,1,2,3,4,1,2
3,4,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,1
2,3,4,1,2,1,1
1,2,1,1,1,2,3
3,4,5,1,2,3,4
5,1,2,3,4,5,1
1,2,1,1,1,2,3
4,1,2,3,4,1,2
3,4,5,1,2,3,4
5,1,2,3,1,1,1
1,1,1,1,1,1,1
2,3,4,1,2,3,4
5,1,2,3,4,1,2
3,1,2,3,4,1,2
3,4,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,5,1
2,3,4,5,1,2,3
4,5,1,1,1,1,1
2,1,2,3,1,2,3
1,2,1,1,1,2,1
2,3,4,1,2,3,4
1,2,3,4,1,2,1
2,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,2,3,1,2
3,1,2,3,1,2,3
4,5,1,1,2,3,1
1,1,2,3,4,5,1
1,1,2,3,1,2,3
4,5,1,2,3,4,5
1,2,3,4,5,1,2
3,4,5,1,2,3,4
5,1,2,3,4,1,2
3,1,2,3,4,1,2
3,4,5,1,2,3,4
1,2,3,4,1,2,3
1,2,3,1,2,3,1
2,3,1,2,3,1,2
3,1,2,3,1,2,3
1,2,3,4,1,2,3
1,2,3,1,2,3,1
2,3,1,2,1,2,1
